root,translit,top_gloss,occurrences,n_ayahs,mean_pairwise,localization,hull_area,density,dist_from_global,n_clusters,spread_frac,dom_kmeans,dom_k_frac
صدد,s-d-d,Hundred,42,41,2.584,0.43,11.73,3.495,3.432,2,0.415,4,0.39
فلح,f-l-h,Prospered,40,40,4.414,0.735,45.3,0.883,2.027,3,0.45,6,0.5
شعر,sh-3-r,Competed,40,40,4.92,0.82,60.43,0.662,1.416,2,0.4,4,0.3
بدل,b-d-l,Substituted,44,40,3.282,0.547,19.05,2.1,3.069,1,0.025,4,0.4
خشي,kh-sh-a,to fear,48,40,3.914,0.652,48.79,0.82,2.91,3,0.6,4,0.45
بحر,b-h-r,"to cut, to slit",42,40,7.07,1.178,50.74,0.788,1.043,3,0.525,4,0.475
يسر,y-s-r,Facilitated,44,40,6.149,1.024,53.84,0.743,0.482,5,0.65,4,0.25
ملا,m-l-a,filled,40,40,5.911,0.985,48.7,0.821,1.527,3,0.5,4,0.425
طغي,T-gh-a,Overstepped,39,39,5.906,0.984,62.48,0.624,0.343,4,0.641,4,0.282
جبل,j-b-l,,41,39,9.249,1.541,54.86,0.711,1.939,5,0.692,4,0.308
قوي,q-w-a,Strong,42,39,3.542,0.59,24.62,1.584,3.288,3,0.513,4,0.462
سلط,s-l-T,Sultanate,39,39,3.773,0.629,20.12,1.938,3.098,3,0.487,4,0.487
قرر,q-r-r,settlement,38,37,5.71,0.951,61.97,0.597,1.41,3,0.649,4,0.351
ترك,t-r-k,Abandonment,43,37,8.155,1.358,49.66,0.745,0.747,3,0.514,4,0.486
مرا,m-r-ʾ,,38,37,3.914,0.652,18.34,2.017,3.018,2,0.486,4,0.459
نسي,n-s-a,Forgot,45,37,7.258,1.209,47.3,0.782,0.913,3,0.568,4,0.405
هوي,h-w-a,Desire,38,37,4.726,0.787,53.87,0.687,3.11,2,0.378,4,0.595
ذنب,dh-n-b,Sting,39,37,3.051,0.508,24.08,1.537,3.157,3,0.676,4,0.351
الو,a-l-w,,37,37,1.789,0.298,18.04,2.051,8.933,2,0.162,3,0.865
نكر,n-k-r,Denial,37,37,4.887,0.814,53.01,0.698,1.871,2,0.432,4,0.351
اني,a-n-a,"""how""",36,36,5.291,0.881,52.09,0.691,2.075,2,0.556,4,0.417
عهد,3-h-d,Covenant,46,36,4.149,0.691,40.33,0.893,2.804,2,0.528,4,0.472
قطع,q-T-3,Colic,36,36,3.418,0.569,23.84,1.51,3.485,2,0.5,4,0.5
حدث,h-d-th,Hadith,36,36,8.216,1.369,63.86,0.564,0.428,4,0.583,4,0.417
اوي,a-w-a,refuge,36,36,4.389,0.731,39.88,0.903,2.452,2,0.167,4,0.417
لعن,l-3-n,Curse,41,36,2.786,0.464,15.35,2.345,3.415,2,0.5,4,0.444
ذرر,dh-r-r,Progeny,38,36,3.676,0.612,21.24,1.695,3.103,4,0.5,4,0.5
جهد,j-h-d,,41,36,2.457,0.409,11.66,3.086,3.982,2,0.083,6,0.472
طوف,T-w-f,Faction,41,35,4.561,0.76,43.36,0.807,2.743,2,0.514,4,0.486
ريب,r-y-b,Doubt,36,35,3.371,0.561,16.65,2.102,3.569,2,0.457,4,0.514
سبق,s-b-q,preceded,37,35,6.276,1.045,57.55,0.608,0.871,5,0.657,4,0.343
بلو,b-l-w,Blundered,38,35,4.835,0.805,51.44,0.68,2.602,3,0.486,4,0.514
غفل,gh-f-l,Uncultivated,35,35,4.204,0.7,55.07,0.636,2.225,2,0.314,4,0.314
سخر,s-kh-r,Herb,42,35,4.914,0.819,46.79,0.748,2.65,4,0.486,4,0.514
كره,k-r-h,Abominable,41,35,3.215,0.536,22.06,1.587,3.011,3,0.486,4,0.343
شرب,sh-r-b,Drank,39,34,8.678,1.446,55.92,0.608,0.437,3,0.588,4,0.412
بطل,b-T-l,became false,36,34,3.417,0.569,21.26,1.599,2.656,2,0.382,4,0.382
ورث,w-r-th,,35,34,8.142,1.356,51.11,0.665,0.725,5,0.559,4,0.441
قرن,q-r-n,Competitor,36,34,4.386,0.731,32.83,1.035,1.501,2,0.382,1,0.353
فتح,f-t-h,Opened,38,33,4.663,0.777,49.23,0.67,2.672,2,0.455,4,0.545
حين,h-y-n,Time,35,33,6.418,1.069,53.13,0.621,0.473,3,0.515,4,0.303
هزا,h-z-a,,34,32,2.63,0.438,14.05,2.278,2.409,2,0.281,0,0.469
عصي,3-s-a,stubborn,32,32,4.118,0.686,53.49,0.598,2.729,2,0.531,4,0.406
شمس,sh-m-s,to shine,33,32,3.712,0.618,19.43,1.647,2.889,4,0.594,4,0.406
عرش,3-r-sh,to construct,33,32,4.439,0.739,48.68,0.657,2.449,2,0.438,4,0.375
مرر,m-r-r,time,35,32,3.771,0.628,24.16,1.324,3.003,4,0.562,4,0.438
جنح,j-n-h,,34,32,3.268,0.544,36.19,0.884,5.077,2,0.188,4,0.812
كفي,k-f-a,Sufficed,33,32,4.116,0.686,56.12,0.57,1.87,3,0.438,6,0.438
برك,b-r-k,Blessed,32,32,3.674,0.612,22.95,1.394,2.52,3,0.656,4,0.344
