root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
كره,k-r-h,Abominable,41,35,0.536,0.862,0.327
جنن,j-n-n,,201,196,0.585,0.912,0.327
ردد,r-d-d,Response,59,57,0.532,0.859,0.327
كلم,k-l-m,word,75,71,0.612,0.942,0.329
بدو,b-d-w,Appeared,31,29,0.48,0.81,0.331
وعظ,w-3-z,,25,24,0.543,0.877,0.334
بطل,b-T-l,became false,36,34,0.569,0.905,0.336
رحم,r-h-m,Mercy,339,313,0.527,0.863,0.337
طهر,T-h-r,Pure,31,26,0.645,0.982,0.337
نوس,n-w-s,to and fro,241,225,0.533,0.871,0.338
غرب,gh-r-b,To embrace,19,17,0.599,0.94,0.341
عسي,3-s-a,to hope,30,28,0.509,0.85,0.341
سلط,s-l-T,Sultanate,39,39,0.629,0.97,0.342
كود,k-w-d,,24,24,0.559,0.902,0.343
سوا,s-w-a,evil,167,151,0.571,0.917,0.346
بسط,b-s-T,Simplified,25,23,0.487,0.833,0.346
مرر,m-r-r,time,35,32,0.628,0.979,0.35
راف,r-a-f,Pity,13,13,0.504,0.855,0.351
